file,doi
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1001/jamainternmed.2016.0004
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd000335.pub2
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd000963.pub3
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd003010.pub5
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd007612.pub2
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/14651858.cd009790.pub2
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/ejp.70090
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/jor.20415
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1002/pri.2118
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1007/bf00268043
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1007/bf00268173
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1007/bf01742729
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.apmr.2015.10.009
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.cpr.2024.102449
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.ejpain.2003.09.002
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.jbmt.2011.02.003
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.msksp.2024.103132
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.rsma.2024.103638
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/j.seppur.2024.128370
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(05
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(0566374-2
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(17
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(1730460-x
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(18
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(19
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(1930417-9
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(23
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1016/s0140-6736(2300441-5
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1038/s41598-024-68192-2
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1056/nejm199502093320602
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1093/milmed/usae080
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1093/nutrit/nuae058
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1093/ptj/pzaa028
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1093/ptj/pzaa231
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/01.brs.0000146464.23007.2a
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/01.brs.0000214884.18502.93
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/ajp.0000000000000251
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/bpo.0000000000002779
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1097/brs.0000000000005128
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1111/pme.12052
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsm.2011.084079
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsm.36.6.392
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2016-096458
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2017-098983
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2018-099198
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2018-099747
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bjsports-2020-102250
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bmj.f7095
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bmj.l540
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bmj.l689
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1136/bmjopen-2023-080646
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1148/radiology.200.3.8756939
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.11591/edulearn.v19i1.21209
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.11591/edulearn.v19i1.21853
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1177/03635465231175151
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1186/s12891-024-07667-9
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1186/s13023-015-0322-x
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1196/annals.1351.019
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.12982/jams.2024.050
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1371/journal.pone.0178621
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.1371/journal.pone.0306993
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.20944/preprints202406.1887.v1
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.21474/ijar01/18894
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2302/kjm.32.59
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2519/jospt.2015.5987
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2519/jospt.2018.0608
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2519/jospt.2021.0105
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.2519/jospt.2022.10698
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.25259/jassm_26_2024
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3174/ajnr.a4173
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.32382/fis.v16i1.725
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3389/fmed.2024.1433070
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3389/fphar.2022.811962
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3390/jcm12237416
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3390/jcm13164781
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3390/life14060754
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.3390/life14080936
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.35975/apic.v28i3.2459
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.4103/sni.sni_359_17
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.4314/tjpr.v23i5.13
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.52403/ijrr.20240805
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.5705/ss.202021.0387
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.57220/jatpb.v3i1.178
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.57220/jatpb.v3i1.180
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.61919/jhrr.v4i2.1168
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.70065/24ja83.006l011007
C:\Users\Thomas ROBINEAU\Downloads\references_consolide_dedup_funky (1).md,10.7326/m16-1740
